"Sex","Age","Marital.status","Number.of.children","Years.of.education","Managerial.position","Work.hours","Full.time","Income","BWAS1","BWAS2","BWAS3","BWAS4","BWAS5","BWAS6","BWAS7","UWES1","UWES2","UWES3","UWES4","UWES5","UWES6","UWES7","UWES8","UWES9","MBI1","MBI2","MBI3","MBI4","MBI5","MBI6","MBI7","MBI8","MBI9","MBI10","MBI11","MBI12","MBI13","MBI14","MBI15","MBI16","PSS1","PSS2","PSS3","PSS4","PSS5","PSS6","PSS7","PSS8","PSS9","PSS10"
1,46,0,3,26,"Lower managarial",50,1,1e+05,2,4,3,2,1,5,4,0,1,2,2,1,2,2,5,5,6,5,4,4,3,7,1,2,3,2,2,2,5,6,6,5,3,5,5,3,1,5,3,2,3,5
1,55,1,2,26,"Non managarial",70,1,80000,2,4,4,3,2,3,1,6,5,6,6,6,5,6,6,5,2,2,2,1,7,1,6,1,1,7,7,7,6,1,1,6,4,1,3,5,4,3,4,4,4,1
0,40,1,2,26,"Non managarial",50,1,50000,3,3,1,2,2,1,1,5,6,6,6,6,5,6,5,0,1,2,1,1,1,1,4,1,1,1,7,4,7,2,1,1,1,1,2,5,5,5,4,4,2,1
0,36,1,3,26,"Lower managarial",40,1,120000,3,2,4,3,4,4,3,2,2,4,4,4,5,5,5,4,6,5,4,3,6,6,3,4,4,6,6,6,6,5,2,5,4,3,4,3,3,3,3,4,4,2
1,42,0,1,26,"Non managarial",50,1,NA,3,4,2,1,2,3,1,3,5,5,5,5,5,6,5,3,2,6,4,4,7,2,6,1,2,7,5,4,6,2,1,6,1,3,3,4,3,3,4,2,2,3
1,34,1,3,26,"Non managarial",40,1,30000,2,2,3,1,1,2,2,3,3,3,2,1,1,1,1,1,2,3,3,3,4,2,2,2,2,2,4,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3
1,41,1,2,26,"Non managarial",52,1,60000,3,3,1,3,4,1,2,5,5,6,5,5,6,6,6,5,2,2,1,1,7,1,6,1,1,7,7,7,2,1,1,7,3,1,3,5,5,2,4,4,2,2
1,35,0,NA,26,"Non managarial",40,1,NA,2,2,1,1,1,1,1,3,3,2,2,5,5,5,5,3,1,3,1,1,6,2,6,1,1,6,7,6,7,3,2,6,2,2,3,4,4,2,5,3,1,2
1,37,1,1,26,"Non managarial",80,1,NA,2,5,5,4,5,5,5,5,5,5,5,3,3,4,5,5,6,7,7,7,4,7,3,3,4,6,7,6,5,6,5,5,3,4,4,4,4,4,3,2,4,4
1,40,0,3,25,"Lower managarial",40,1,70000,2,3,1,1,2,1,1,6,6,5,1,3,4,5,1,1,6,6,4,1,6,4,4,2,4,6,6,6,2,1,1,6,3,2,4,5,4,2,4,4,5,2
1,54,1,3,25,NA,40,1,NA,4,4,2,3,1,3,3,4,4,5,3,4,4,5,5,4,5,6,6,6,6,5,6,2,5,6,6,6,6,1,1,6,4,4,4,4,3,3,4,3,4,4
0,NA,0,NA,25,"Non managarial",45,0,80000,3,3,3,2,2,2,2,3,3,5,2,3,2,3,3,4,4,4,4,4,7,4,3,1,3,7,4,3,7,1,2,6,2,2,3,2,3,3,4,4,3,2
0,32,0,1,25,"Non managarial",40,1,40000,4,4,3,1,1,2,2,4,5,5,3,3,5,6,6,2,2,3,4,1,4,2,5,1,4,1,5,2,1,1,2,6,2,3,2,3,3,2,2,4,2,3
1,44,1,3,25,"High managarial",45,1,1e+05,1,2,1,1,1,1,1,3,3,6,2,3,6,1,2,1,2,3,6,6,7,2,6,1,6,6,6,6,7,7,6,3,2,2,3,4,3,2,4,3,2,2
1,58,1,4,24,"Lower managarial",65,1,117000,4,4,3,3,3,4,3,3,5,6,1,5,3,1,5,2,2,2,2,2,6,1,4,1,1,3,6,3,3,2,1,4,1,1,2,5,4,2,5,4,2,1
0,32,1,1,24,"Middle managarial",65,1,1e+05,2,2,1,3,3,4,4,5,5,5,3,3,4,4,5,4,2,6,3,1,7,2,6,2,4,7,6,6,1,1,2,6,3,2,2,5,4,3,4,4,2,1
0,52,1,4,24,"Non managarial",40,1,69500,2,3,1,1,1,2,1,1,2,5,2,6,4,6,5,3,2,3,2,1,7,2,6,1,2,7,6,4,5,5,2,6,4,2,4,4,5,3,2,2,5,1
1,39,1,3,24,"Non managarial",40,1,23000,3,4,1,3,2,3,4,6,6,6,6,6,5,6,5,5,1,1,1,1,7,1,7,1,1,7,7,7,7,1,1,7,3,1,2,5,5,2,4,4,2,1
1,35,1,2,24,"Non managarial",50,1,54000,3,3,2,2,4,3,2,5,6,6,5,5,5,5,3,2,6,4,4,2,7,2,6,1,2,7,6,6,6,2,1,6,4,3,4,4,3,2,4,4,3,2
1,54,1,4,24,"Lower managarial",49,1,70826,4,4,2,2,2,2,1,5,5,5,4,5,5,6,3,6,2,3,3,2,6,2,6,3,2,5,6,6,2,4,2,6,3,2,3,5,5,2,4,5,1,1
0,30,1,1,24,"Non managarial",30,1,20000,1,4,3,1,1,3,3,5,5,5,5,5,3,6,5,1,2,3,4,2,7,2,2,3,2,6,5,4,2,2,1,5,2,1,2,5,3,4,5,4,1,2
1,33,1,2,24,"Non managarial",40,0,30000,3,4,1,1,1,4,4,2,2,3,2,1,3,2,3,3,3,3,6,4,4,3,1,4,4,2,3,1,4,6,5,3,3,3,3,3,3,2,4,3,3,2
1,39,1,1,24,"Non managarial",50,1,NA,3,4,2,2,2,4,3,2,2,2,3,2,3,3,3,3,3,4,2,4,7,4,2,1,4,5,4,4,4,4,4,4,3,2,3,4,3,4,4,3,2,2
0,32,1,1,24,"Non managarial",80,1,30000,4,2,4,2,4,1,4,3,3,4,5,4,5,4,6,5,6,6,6,4,6,6,5,6,5,6,5,3,7,4,6,2,4,4,4,3,3,5,3,2,3,3
1,32,1,5,23,"Non managarial",20,0,4000,3,2,1,1,2,1,1,5,5,4,5,5,5,5,4,4,2,2,2,3,6,4,7,1,4,6,7,6,6,5,5,6,5,2,3,4,5,3,3,4,3,2
1,32,1,2,23,"Non managarial",40,1,NA,1,1,1,1,1,1,1,2,2,6,3,3,0,6,3,0,4,4,3,5,7,2,7,1,1,7,7,7,6,4,1,7,3,2,3,4,4,2,5,4,2,2
1,58,1,3,23,NA,40,1,60000,4,5,1,4,4,4,4,5,5,5,6,6,6,5,6,3,2,3,2,1,2,1,5,1,1,6,7,5,2,1,1,7,4,2,4,4,4,2,4,5,3,2
1,44,1,1,23,"Lower managarial",35,1,65000,4,4,3,2,1,2,3,5,5,6,5,5,5,5,5,5,4,6,3,3,6,4,3,3,3,7,6,6,7,2,2,6,3,1,3,5,5,3,5,5,3,3
1,46,1,2,23,NA,40,1,NA,4,3,1,1,1,1,1,6,6,6,6,6,6,6,6,6,1,2,1,2,7,1,7,1,1,7,7,7,7,1,1,1,2,2,2,5,5,2,5,5,3,2
0,53,1,5,23,"Non managarial",35,1,60000,2,2,3,1,3,1,1,3,2,2,3,5,3,3,3,2,2,2,2,2,7,2,2,2,2,2,2,2,2,1,2,3,4,3,4,3,4,3,2,3,4,2
1,37,1,2,23,"Non managarial",40,1,75000,5,5,5,5,4,5,3,4,5,6,5,6,6,5,6,6,2,2,2,1,6,2,2,1,2,2,4,3,6,1,1,6,4,3,3,3,4,3,3,3,3,3
NA,41,1,3,23,"High managarial",60,1,20000,2,4,3,3,2,3,4,3,4,5,5,5,4,5,5,4,4,4,4,3,6,3,6,1,2,6,6,6,6,4,2,6,3,2,4,4,4,2,4,4,3,3
0,38,1,1,23,"Non managarial",60,1,NA,4,2,3,2,4,3,3,0,0,6,5,1,5,2,6,1,5,6,6,6,4,6,3,1,3,4,3,2,6,6,2,4,4,3,4,3,4,3,3,3,4,3
1,29,1,1,23,"Lower managarial",50,1,80000,1,2,1,1,1,2,2,1,2,5,1,3,2,1,2,2,3,4,4,4,6,3,4,3,3,3,4,4,6,3,2,4,3,2,3,4,4,2,4,4,3,2
1,30,1,2,23,"Middle managarial",45,1,50000,4,4,3,3,3,3,2,5,5,5,3,4,5,5,5,5,2,6,6,2,6,2,4,2,2,4,5,5,6,4,2,5,3,3,3,3,3,3,4,3,3,3
1,36,1,3,23,"Non managarial",40,1,NA,3,3,1,3,3,4,2,5,5,6,4,5,5,5,4,3,2,5,3,3,7,2,4,2,2,7,7,7,7,7,1,7,4,3,4,4,3,3,3,2,3,2
1,31,0,1,22,"Non managarial",55,1,90000,4,3,2,1,3,2,1,6,6,6,6,6,6,6,6,6,6,2,1,1,7,1,7,1,1,7,7,7,2,1,1,7,3,2,3,5,5,1,5,4,2,1
0,48,1,3,22,"High managarial",45,1,120000,4,2,2,1,3,2,2,3,3,2,3,5,2,4,3,2,1,4,2,3,6,1,4,4,2,5,4,3,5,1,1,4,2,3,2,2,4,3,4,4,3,2
1,52,0,NA,22,"Non managarial",55,1,NA,2,2,1,1,3,3,1,1,5,6,6,5,6,6,6,5,1,2,2,1,3,1,3,1,1,7,4,4,7,1,1,6,3,2,3,4,4,3,5,3,3,2
1,32,1,2,22,"Non managarial",50,1,4000,4,4,3,2,1,1,1,3,4,6,5,6,6,6,6,6,2,2,1,1,7,1,4,1,1,7,7,7,7,2,1,7,3,2,3,2,4,2,3,3,3,2
1,33,0,NA,22,"Non managarial",40,1,NA,2,2,3,3,2,3,3,3,3,5,3,3,5,3,3,3,3,3,3,1,6,2,6,1,2,6,6,6,6,2,2,6,4,3,4,3,3,2,3,2,4,4
1,37,1,1,22,"Lower managarial",55,1,NA,1,1,1,3,3,2,2,5,5,6,6,6,6,6,6,4,1,5,1,1,7,1,7,1,1,6,6,6,7,1,2,2,2,3,3,4,4,2,5,4,2,1
1,41,1,2,22,"Lower managarial",50,1,72000,2,4,3,2,3,4,1,4,4,5,2,5,3,3,5,4,3,5,2,2,4,2,2,2,2,6,5,3,7,3,2,5,2,1,3,5,4,2,4,5,2,1
1,32,1,2,22,"Non managarial",60,1,4000,4,4,4,4,4,4,1,5,5,5,4,4,5,5,5,5,2,6,2,2,7,1,7,1,1,6,6,4,5,6,1,6,2,4,3,3,4,3,4,4,3,3
1,47,1,2,22,"High managarial",40,1,130000,1,2,1,2,1,1,4,6,6,6,6,6,6,6,6,5,2,5,2,1,7,1,7,1,1,7,7,7,7,1,1,7,3,3,4,4,3,3,4,3,4,3
1,36,1,3,22,"High managarial",55,1,80000,4,4,4,4,4,4,4,5,5,6,4,3,4,5,5,5,5,6,5,3,6,5,6,1,4,5,6,5,6,2,2,6,4,4,4,4,3,3,3,3,4,4
0,52,0,1,22,"Non managarial",50,1,120000,1,3,1,1,1,2,1,5,6,6,0,5,1,1,6,0,2,2,1,1,7,2,1,1,3,7,7,3,7,6,1,7,3,2,3,1,5,1,4,4,2,2
1,42,1,4,22,"Lower managarial",52,1,NA,1,4,1,3,1,4,3,4,5,5,3,4,5,5,3,2,4,3,5,3,6,4,6,1,2,7,6,4,6,2,2,6,1,1,2,1,4,3,5,5,1,1
1,30,1,1,22,"Non managarial",40,1,40000,1,1,2,2,2,1,1,3,2,2,0,2,4,2,2,4,2,1,1,2,5,1,4,1,2,6,7,6,5,2,3,5,4,3,2,3,4,1,2,3,2,1
1,39,1,1,22,"Non managarial",45,1,40000,3,4,4,4,4,5,4,2,2,6,6,4,3,6,6,3,6,4,4,2,4,2,4,2,4,6,5,6,7,2,1,7,3,2,4,4,4,1,4,4,3,1
1,41,0,3,22,"Non managarial",48,1,NA,1,2,2,2,1,1,1,3,3,4,2,1,1,1,1,0,1,2,4,2,6,2,2,4,5,5,5,6,6,6,6,6,2,2,2,5,5,2,5,5,2,1
